date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-03-12,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,2.8571428571428568,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,3.2857142857142856,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.7142857142857142,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,1.4285714285714284,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,3.1428571428571423,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,2.9999999999999996,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,4.142857142857142,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.8571428571428571,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,4.999999999999999,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,4.571428571428571,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.7142857142857142,0.42857142857142855,0.14285714285714285,0.0,0.0,0.7142857142857142,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,8.428571428571429,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.7142857142857142,0.0,0.2857142857142857,0.0,6.142857142857142,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,2.142857142857143,0.5714285714285714,0.42857142857142855,0.0,0.0,0.9999999999999999,1.2857142857142856,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.4285714285714284,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.14285714285714285,12.428571428571429,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857142,0.0,0.2857142857142857,0.2857142857142857,5.999999999999999,0.42857142857142855,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,2.714285714285714,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,1.2857142857142856,1.857142857142857,0.0,0.0,0.0,0.7142857142857142,1.1428571428571428,0.0,0.2857142857142857,1.9999999999999998,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.2857142857142857,20.285714285714285,1.1428571428571428,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.9999999999999999,0.0,0.2857142857142857,0.2857142857142857,6.571428571428571,0.5714285714285714,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.14285714285714285,2.9999999999999996,0.5714285714285714,0.5714285714285714,0.0,0.0,1.5714285714285712,2.714285714285714,0.0,0.0,0.0,0.857142857142857,1.857142857142857,0.14285714285714285,0.42857142857142855,2.714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.7142857142857142,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2857142857142857,27.14285714285714,1.1428571428571428,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,1.1428571428571428,0.0,0.2857142857142857,0.2857142857142857,7.857142857142857,0.5714285714285714,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.2857142857142857,4.285714285714286,0.7142857142857142,1.1428571428571428,0.2857142857142857,0.0,1.4285714285714284,3.4285714285714284,0.0,0.0,0.0,1.2857142857142856,2.571428571428571,0.14285714285714285,0.42857142857142855,2.571428571428571,0.7142857142857142,0.42857142857142855,0.0,1.5714285714285712,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,3.8571428571428568,0.0,0.2857142857142857,34.14285714285714,1.5714285714285714,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,1.4285714285714284,0.14285714285714285,0.7142857142857142,0.2857142857142857,8.142857142857142,0.5714285714285714,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.2857142857142857,4.857142857142857,0.7142857142857142,1.4285714285714284,0.2857142857142857,0.0,2.142857142857143,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,3.142857142857143,0.14285714285714285,0.42857142857142855,4.571428571428571,1.2857142857142856,0.42857142857142855,0.0,2.4285714285714284,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,5.428571428571428,0.0,0.42857142857142855,47.14285714285714,2.142857142857143,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857,1.5714285714285712,0.14285714285714285,0.5714285714285714,0.7142857142857142,8.714285714285714,0.5714285714285714,0.0,0.0
2020-03-24,0.0,0.0,0.2857142857142857,0.7142857142857142,6.142857142857142,1.1428571428571428,1.714285714285714,0.2857142857142857,0.0,1.857142857142857,4.428571428571428,0.14285714285714285,0.0,0.0,2.142857142857143,3.5714285714285716,0.14285714285714285,0.42857142857142855,5.999999999999999,1.5714285714285712,0.5714285714285714,0.0,4.285714285714286,0.14285714285714285,1.1428571428571428,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,7.999999999999999,0.0,0.42857142857142855,62.857142857142854,2.4285714285714284,0.42857142857142855,1.0,1.1428571428571428,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857,1.9999999999999998,0.14285714285714285,1.0,0.9999999999999999,8.714285714285714,0.8571428571428571,0.0,0.0
2020-03-25,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.857142857142857,7.142857142857142,2.4285714285714284,2.571428571428571,0.2857142857142857,0.0,2.2857142857142856,5.285714285714285,0.0,0.14285714285714285,0.0,2.571428571428571,4.285714285714286,0.2857142857142857,0.5714285714285714,8.428571428571427,2.1428571428571423,0.5714285714285714,0.0,6.999999999999999,0.14285714285714285,1.1428571428571428,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,10.571428571428571,0.14285714285714285,0.7142857142857142,81.71428571428571,3.142857142857143,0.7142857142857142,0.9999999999999999,1.9999999999999998,0.14285714285714285,0.8571428571428571,0.0,0.42857142857142855,2.1428571428571423,0.14285714285714285,1.0,1.1428571428571428,9.428571428571429,1.4285714285714284,0.0,0.0
2020-03-26,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.1428571428571428,8.57142857142857,2.0,2.571428571428571,0.42857142857142855,0.0,2.8571428571428568,5.428571428571429,0.0,0.14285714285714285,0.42857142857142855,3.142857142857143,5.571428571428571,0.2857142857142857,0.42857142857142855,10.428571428571429,3.5714285714285707,0.42857142857142855,0.0,9.857142857142856,0.2857142857142857,1.1428571428571428,0.7142857142857142,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,13.714285714285714,0.14285714285714285,1.2857142857142856,111.28571428571428,4.0,0.8571428571428571,1.1428571428571428,2.4285714285714284,0.0,1.1428571428571428,0.0,0.42857142857142855,2.9999999999999996,0.14285714285714285,1.1428571428571428,0.9999999999999998,11.0,2.0,0.0,0.0
2020-03-27,0.14285714285714285,0.5714285714285714,0.42857142857142855,1.857142857142857,11.0,3.7142857142857144,3.2857142857142856,0.2857142857142857,0.14285714285714285,3.4285714285714284,7.142857142857142,0.0,0.42857142857142855,0.42857142857142855,4.142857142857142,5.428571428571429,0.42857142857142855,0.7142857142857142,15.0,4.857142857142857,0.42857142857142855,0.14285714285714285,14.857142857142856,0.5714285714285714,0.857142857142857,0.9999999999999999,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,17.857142857142854,0.14285714285714285,1.1428571428571428,141.28571428571428,4.428571428571429,1.0,1.2857142857142856,3.0,0.2857142857142857,1.4285714285714284,0.0,0.7142857142857142,4.428571428571428,0.14285714285714285,1.1428571428571428,1.1428571428571426,10.571428571428571,2.142857142857143,0.0,0.0
