ymin,lower,middle,upper,ymax,location,model_name
2.951936742558047,3.0346463202049163,3.0653375461863837,3.09803732269601,3.1708262106375376,CT,Baseline
4.232419587531992,5.102311992397747,5.498856946263491,5.772281762752508,5.998981550301926,CT,Behavioral (Mixed)
4.395699487188494,5.195272937886658,5.5221387472780865,5.796280359591484,5.998154650279213,CT,Behavioral (Exponential)
4.628392355549437,5.342784218822363,5.62254337074043,5.836638024548424,5.997010116449628,CT,Behavioral (Rational)
2.645000026765076,2.725459335087732,2.758330359093436,2.787612054553142,2.845107902065111,DC,Baseline
3.348173432675753,3.9240879648542384,4.1843091592228365,4.4548127286645425,4.9964717913307535,DC,Behavioral (Mixed)
2.981387424710416,3.26293158358737,3.389890543776809,3.518455036134927,3.8076047495058183,DC,Behavioral (Exponential)
2.9296583931969247,3.12916319561674,3.217262006121108,3.3278658967019012,3.571889136010104,DC,Behavioral (Rational)
2.5964510863053567,2.666570621057895,2.6997452314883987,2.7286575246389884,2.795309019441065,DE,Baseline
2.675279112457663,2.994701002502907,3.226434912468968,3.462252994132587,3.998103324639633,DE,Behavioral (Mixed)
2.6745324023067836,2.967314877724035,3.1390010573093936,3.327294651253178,3.74528835246556,DE,Behavioral (Exponential)
2.6701803793049224,2.9907790937775833,3.1636765901843336,3.3252981045135717,3.586086056950789,DE,Behavioral (Rational)
2.2931818042762324,2.394865727040718,2.445762190682375,2.502331716297703,2.6037262072337315,GA,Baseline
5.019850024187556,5.517250304593313,5.7230942385938635,5.867486078399804,5.9975311835608816,GA,Behavioral (Mixed)
4.909289405299696,5.449864910886818,5.666776048165802,5.840221285403506,5.999054741220831,GA,Behavioral (Exponential)
3.3707811660706257,3.586066030677336,3.690883117879248,3.796146292880281,4.0767640179628355,GA,Behavioral (Rational)
2.268600876570613,2.332288744014228,2.366138849051603,2.40182215094582,2.474910278062086,IA,Baseline
2.267280606030412,2.4150421381032623,2.5035263701603507,2.600396145905463,2.8380883109567097,IA,Behavioral (Mixed)
2.2881859221489234,2.405674905298517,2.4838671705703,2.5687676338250034,2.806363349216051,IA,Behavioral (Exponential)
2.278999014646816,2.400817480481088,2.4711602602428253,2.5544055633381677,2.770964994287514,IA,Behavioral (Rational)
2.4103691689354436,2.4815390336110745,2.5152410193484886,2.543697962378503,2.5833915666777125,IL,Baseline
2.658468777990721,3.0549110519548446,3.3566109957525923,3.685761198901346,4.483236271406577,IL,Behavioral (Mixed)
2.6646991940359412,3.028195518506751,3.2687474482188885,3.566176872826972,4.225443783480131,IL,Behavioral (Exponential)
2.7967257624322017,3.3375067190997436,3.7096674479787346,4.056572505477129,4.944363914696381,IL,Behavioral (Rational)
2.6942363959929025,2.78469717865839,2.823695333353766,2.8606404079691634,2.913642237750425,IN,Baseline
3.2174931854305564,3.725908051306556,4.070191589234503,4.434516054160505,5.20483670307268,IN,Behavioral (Mixed)
3.1813886029029623,3.607771855289245,3.873091542949161,4.189705363020759,4.901296726018464,IN,Behavioral (Exponential)
3.59762262855387,4.260551180295149,4.547768454842524,4.757824968516879,5.1611295813832285,IN,Behavioral (Rational)
3.141670736413801,3.254621240391703,3.296847011222492,3.3401962386758304,3.394950727169047,KS,Baseline
3.26025285866766,3.428600526361879,3.5097464594748335,3.5841641863167752,3.796368298860912,KS,Behavioral (Mixed)
3.1684754005027944,3.331333855596544,3.413438475159032,3.482799184290065,3.663887545126224,KS,Behavioral (Exponential)
3.169166710968453,3.317304998125368,3.3893543903316563,3.4619441633639587,3.620853408820872,KS,Behavioral (Rational)
2.5591279318426414,2.6711296514619396,2.727589438706745,2.7807636521052093,2.875680940511449,KY,Baseline
3.0126932402169855,3.198721572809463,3.296006825817036,3.386022335165429,3.6168124402968895,KY,Behavioral (Mixed)
2.7100161345131726,2.9084525631250675,2.9852252858386215,3.0698035165543183,3.2355289434197365,KY,Behavioral (Exponential)
2.683172100387724,2.844406267632812,2.927444063275579,3.0027006840528387,3.1709106527721813,KY,Behavioral (Rational)
3.294180778618625,3.418206426705549,3.468375318915738,3.5143728608873888,3.5769563573877767,LA,Baseline
4.548727531839635,5.285233499888675,5.589522771334578,5.829499944517438,5.993437215716944,LA,Behavioral (Mixed)
4.6343620537783465,5.286741453412318,5.599373122684087,5.8240085277143665,5.996442508858037,LA,Behavioral (Exponential)
5.12066428781807,5.575646240448899,5.769256512032761,5.89416487679789,5.9990972929894415,LA,Behavioral (Rational)
