ymin,lower,middle,upper,ymax,location,model_name
0.9969664390855806,0.9972401255391722,0.9973451725174285,0.9974234506300863,0.997485667904853,CO,Baseline
0.9590427995672977,0.9733568652438448,0.9826281020256686,0.9906089954696342,0.9973319807057244,CO,Behavioral (Mixed)
0.9590718231379944,0.9708019691516284,0.9780000902525493,0.9853057518632066,0.9973185873487622,CO,Behavioral (Exponential)
0.9737859690822849,0.9865989586244254,0.9917744559461468,0.9952033169831006,0.9973912800599193,CO,Behavioral (Rational)
0.936942998684008,0.9426920968827917,0.9448654518092501,0.9471593878341269,0.9516634228541534,CT,Baseline
0.9190167834855629,0.9324476690461752,0.9382654412561906,0.9433148453447942,0.9553581802832353,CT,Behavioral (Mixed)
0.9252264764301081,0.9359677373107236,0.9408434515807691,0.9448618643480415,0.9538685585757823,CT,Behavioral (Exponential)
0.9233882457072146,0.9315075339339194,0.9354695808673724,0.9391891138281874,0.9491521550091058,CT,Behavioral (Rational)
0.9109290175813818,0.9187735742037799,0.9218132243129213,0.9243840958277915,0.9294492136093168,DC,Baseline
0.8826470343132392,0.897810376475489,0.9042671649422689,0.9099786681131725,0.9197334635750409,DC,Behavioral (Mixed)
0.8733031922183399,0.8852629662210332,0.8917531306770801,0.8980604314142357,0.9106508513181086,DC,Behavioral (Exponential)
0.8678106781883203,0.8825908109259729,0.8911341182720418,0.8975403048148229,0.909469156696241,DC,Behavioral (Rational)
0.9043096058110757,0.9131594509164425,0.9160645458480074,0.9191609763483618,0.9256517964058225,DE,Baseline
0.8777705821179455,0.8920461400943596,0.8982925538335302,0.9035990140770492,0.9140511109906467,DE,Behavioral (Mixed)
0.8779422622621162,0.8914300699296773,0.8969035876945974,0.9023493557296121,0.9121881546554739,DE,Behavioral (Exponential)
0.8780786511611061,0.8901182175732115,0.8957491404337148,0.9012335923194947,0.911886229948958,DE,Behavioral (Rational)
0.8563898109776918,0.8667946746153125,0.8722369559936667,0.877946977774537,0.8879945941177938,IA,Baseline
0.8240844182240794,0.850850720930487,0.8617265127378115,0.8727138848899155,0.8971418588455503,IA,Behavioral (Mixed)
0.8276699819032183,0.8518030690645548,0.8618237198538488,0.8716282726456767,0.8915228348835312,IA,Behavioral (Exponential)
0.8315673248188008,0.8521267044721054,0.8614262524896281,0.8704345708357378,0.8929571492244088,IA,Behavioral (Rational)
0.8803029326657084,0.89005208196884,0.8948747171060583,0.8988481149675289,0.9036689956525822,IL,Baseline
0.7745908175071211,0.8122936677360706,0.8270973429497914,0.8384727284423081,0.8684613228257025,IL,Behavioral (Mixed)
0.7785887854488793,0.81145310547283,0.8237431059130708,0.8363588890370024,0.8606852735976699,IL,Behavioral (Exponential)
0.7864566590481584,0.8131748891265775,0.8241634368182418,0.8358497614668505,0.8570733941808658,IL,Behavioral (Rational)
0.9154865780732305,0.9237312878839334,0.9274657107906717,0.930558882867182,0.9345589471820881,IN,Baseline
0.8233245800252724,0.8461603818890486,0.8590425510155413,0.8702101812023441,0.8905596584723975,IN,Behavioral (Mixed)
0.8225137060694349,0.8432278403250922,0.853787901580351,0.8642339863320273,0.8810781471592851,IN,Behavioral (Exponential)
0.8372956791650286,0.8533689950653638,0.8596536723903078,0.8644505143206815,0.877646836620875,IN,Behavioral (Rational)
0.9581376577641411,0.96253765215028,0.9644464361176146,0.9662547884948909,0.9683715177452188,LA,Baseline
0.9003732521076675,0.9141860726292259,0.9191638068444925,0.9240992359204057,0.9343989789386881,LA,Behavioral (Mixed)
0.9061735021579959,0.9169512300946219,0.9217536960403037,0.9260359250538814,0.9341979189769944,LA,Behavioral (Exponential)
0.9020297348953326,0.9089743238397641,0.9123268543967511,0.9162462841350502,0.9248191319910988,LA,Behavioral (Rational)
0.9208483652732845,0.9281106555928802,0.9308889160071355,0.9332040669436006,0.9381432028333072,MA,Baseline
0.8987161670513938,0.9177517416004317,0.9248939542566375,0.9312742461199656,0.9449212695729237,MA,Behavioral (Mixed)
0.9011731935754906,0.9201531626431456,0.9276036810434856,0.9330694995281511,0.9453600937135314,MA,Behavioral (Exponential)
0.9036640480162526,0.9161080315829635,0.9205380662156248,0.9251830900959309,0.9354801895272228,MA,Behavioral (Rational)
0.8949100581169958,0.9050353923509942,0.9093318754384667,0.9121806021953379,0.917445052454262,MD,Baseline
0.8685834687084139,0.8923900535136388,0.9016633092310135,0.9087733732581816,0.92008501768698,MD,Behavioral (Mixed)
0.8735976438371661,0.8960393436864726,0.903971318981204,0.9111106524375615,0.9200099272098101,MD,Behavioral (Exponential)
0.878516491285076,0.8896644030413932,0.8935850474573079,0.8972560390147527,0.906439555255518,MD,Behavioral (Rational)
0.9583157685506557,0.9624452811344449,0.9642670462131484,0.965761322984461,0.9687773171587842,MI,Baseline
0.9209722498035722,0.935348501478848,0.9414430439864301,0.9472056794942887,0.9593994715368546,MI,Behavioral (Mixed)
0.9258799776975366,0.9384477586130363,0.9435335546250705,0.9488850844100465,0.9575441251978389,MI,Behavioral (Exponential)
0.9278672669339169,0.9364963089138837,0.9413515957752233,0.945089750862752,0.9553109242568237,MI,Behavioral (Rational)
0.848094646520159,0.8596054443651027,0.8649471333782575,0.8691450536416994,0.8756253658278401,MN,Baseline
0.7794726272883884,0.802257969187667,0.813983494407866,0.8264413910302826,0.8464733132809391,MN,Behavioral (Mixed)
0.7832010218660082,0.8044561625001319,0.8144033308707519,0.8252476016323276,0.844712190843765,MN,Behavioral (Exponential)
0.7832408571347654,0.8050605688794031,0.8138823528141725,0.8215108065147515,0.8360187479042064,MN,Behavioral (Rational)
