R0,delta,theta_pi0,weight
3.89163996217429,-9.900432140301637,-7.8196351423895285,0.0010265931886212095
3.964091586697209,-9.887805872101822,-8.014641254908977,0.000708417812883428
4.021007895936824,-9.88825263580258,-8.11708767534057,0.000774040660251395
4.275965051620895,-9.923447816135631,-8.651537471187755,0.0013395770771605297
4.079460242326988,-9.916237573826397,-8.222508457709319,0.0009109361067811562
4.285323847031684,-9.936909017378557,-8.64483691317177,0.0009156999278391018
4.225779774316116,-9.933186007192562,-8.578442287521419,0.0009586492635790721
4.081703886771888,-9.899576439696814,-8.275834530234821,0.0009439404501835105
4.180941045848743,-9.936596513361911,-8.41724531308379,0.0009961216400254768
4.139567918643905,-9.921840328542931,-8.388859193095874,0.000827747701779446
3.995664393540694,-9.915341769933276,-8.099318655700708,0.0012591464942499134
4.193055539307808,-9.948600611484723,-8.443417784222456,0.0010702714759424068
4.151309578518282,-9.909496490543493,-8.297084771614518,0.001177114209905658
4.031088965692443,-9.929906490008035,-8.139826194177333,0.00103306278706642
4.220602635301046,-9.936682799784291,-8.441124248779177,0.0010645892551385074
4.162375925880443,-9.905035577528778,-8.42169518363433,0.0010592793525649787
4.0194208502121365,-9.900319115714339,-8.069724185472921,0.0015639901835360975
4.124278572912184,-9.922319101046634,-8.369527282017659,0.0008956329269199249
4.279686124444553,-9.923129917415647,-8.662591875134238,0.0013335339245214752
4.105052150848284,-9.937018263186705,-8.31775262968067,0.0009739822927182675
4.185092637953839,-9.940189069600716,-8.487020050581364,0.0011464405700277883
4.137107318093885,-9.935913642236473,-8.351830531529771,0.0010047408008479533
4.280615361100981,-9.915092024429095,-8.593827168954617,0.0008338907213272635
3.8813348740399447,-9.889713343834268,-7.870857657242697,0.0008454295344122948
4.290528450227008,-9.945374727105369,-8.652190960644482,0.0009569305144267718
3.9761233000627825,-9.898484671299688,-8.07531639293531,0.0009115197070158931
4.162137260758118,-9.930280304908104,-8.340998461117012,0.0008613720747748772
4.160483633653867,-9.90068482768822,-8.33751354276795,0.0010485897188148771
4.131193794235505,-9.930347531194965,-8.268790029071853,0.0009734159724661515
4.137661606236541,-9.893961331384668,-8.365014962447482,0.0009721718272102959
4.337208360277943,-9.945692509781024,-8.729015014598081,0.0011444501795264998
3.9618564346127307,-9.896268099996739,-8.05356662952454,0.000860716858913156
3.993086642402067,-9.886664207555715,-8.026014206822104,0.0010082672181975971
4.225862219860332,-9.934948564501886,-8.488645765122623,0.0009750176140677194
4.162598954587811,-9.937707734341533,-8.350154971685397,0.000894038741395421
4.0916722414902225,-9.929311650155435,-8.214163922217923,0.0008329534669138873
