R0,delta,theta_pi0,zeta,weight
4.414183457848415,-9.903933093341083,-8.70578095616527,0.013220970479831895,0.0009666582381804838
4.924999452140203,-9.914851510983777,-9.386603830149154,0.016175172279180413,0.0008972598219215952
4.3495791879223535,-9.933893035695093,-8.477233410553325,0.01388887285167451,0.0007971558511584983
4.950924939246879,-9.941353739376328,-9.497783064925379,0.01649456763014958,0.0011179554138393464
4.1502761201143334,-9.893050363080187,-8.278996136799641,0.013824876269753763,0.0009265909300875906
5.213710315046693,-9.944314860749369,-9.854839012173898,0.016841019880403728,0.0008140445116754497
3.98434502157555,-9.92698230367573,-8.035454735675847,0.011282991259734023,0.0008288853962066748
5.497810109122582,-9.946652401003501,-10.298127815355704,0.01748177243411358,0.0006736971712745308
4.6788665794083935,-9.936771522104314,-8.93392964496133,0.01482251589074792,0.0009476444920293681
4.230232125253482,-9.869790091875965,-8.289307303589023,0.013610232132143015,0.0009130842476098755
4.704052656479247,-9.921850921150698,-9.052907319168966,0.015117023059558159,0.0010323508136909807
4.0072834324401345,-9.965945402992547,-8.21101229466604,0.011898789154234791,0.0012456717100757947
4.754871558913665,-9.880142125243328,-9.211508516294561,0.015872708209379298,0.0009002218691779279
4.25424640793931,-9.949907052419926,-8.476440881616314,0.012041081715578196,0.001304580480843769
3.491117061699288,-9.889304649579799,-7.304736630679718,0.009518714795721672,0.0010574625002579682
3.6017788100520605,-9.87867918548867,-7.600127153714862,0.010846664755212957,0.0011527604357272172
4.834523727641525,-9.925317089494941,-9.558875545700962,0.015240228084527994,0.00085421167613189
4.652540582551399,-9.939556584591218,-9.281838998814806,0.015021886047913711,0.0007433273587650529
4.4964073042152375,-9.950211025913786,-8.711135618305992,0.013898995293826285,0.000805576667643632
3.743596669258907,-9.950843956838987,-7.809644803490572,0.010124938282277004,0.0012725457570034642
5.00371108385395,-9.893818455310255,-9.553178522993578,0.016191773103858186,0.0011050945182110895
3.9785682552103037,-9.887821590039563,-8.128762581986225,0.011368941852041296,0.0008940981913620795
3.8015829676058774,-9.958549802994607,-7.830447420101644,0.010813756248929378,0.0010394232622631594
4.010028139214614,-9.902136675093988,-8.02323634416806,0.013046873611089147,0.0010574541369402911
4.017341536310733,-9.915418122646257,-8.164819329603116,0.012658820878404259,0.001250360713829118
4.105403105720389,-9.854886593423423,-8.281154316443924,0.01309421590030039,0.0008203330696598025
3.6578450211435696,-9.953598297799592,-7.637192303367534,0.009896147534312946,0.0010101540598301318
4.050820530902433,-9.910418905048713,-8.273187877465334,0.012017087869577187,0.000913469762223833
5.417761875407712,-9.927432206831742,-10.079331462331512,0.01748055048475926,0.0008034029327486433
3.693045590126605,-9.86577773918509,-7.6118305747242765,0.011519896787290927,0.0015658408159190571
4.381028096772504,-9.935115715854728,-8.655235974650708,0.01432161283329051,0.0009134954607303977
4.901391041027438,-9.975422537485178,-9.41074938909159,0.01570198204273937,0.0010094747861557078
3.710852827651431,-9.860697029247829,-7.691320768701968,0.01072655048459633,0.0007696989905541428
4.77979187656115,-9.883105790804947,-9.262659622775212,0.01541199473080287,0.0009699528476176286
3.901668871534013,-9.864355843170845,-8.105070916737109,0.01218757027424421,0.0012484209153143587
4.32233512980499,-9.903588747943648,-8.388836597999045,0.01434238754856814,0.0008163064156128184
4.967238903537071,-9.921802135057808,-9.702432066106462,0.016007010300033927,0.0008709590425758213
4.017398492582836,-9.867945512348385,-8.28226233707515,0.012522033291186402,0.0012540864046189345
4.743191513189657,-9.938680493649679,-9.426473995886498,0.015130882461221446,0.000707309686908621
4.96140882369216,-9.951762848918895,-9.689633567546192,0.016029740703592543,0.0006430999817661218
4.4928133534420125,-9.915809580935596,-8.724937469264285,0.014742501698839264,0.00088552599170266
4.573499945079943,-9.964826796241809,-8.955768596604468,0.013379383680200611,0.0012436694100242541
3.858159851068996,-9.966207587698504,-7.901812650530937,0.010886335658276604,0.0008859909537169251
4.777045140481206,-9.95912556015972,-9.262474193714842,0.015695054947761217,0.0009375898437704549
4.075467378136669,-9.886210068101903,-8.130005934109082,0.01318438379271332,0.0010583567766193783
4.953030154233827,-9.9758699607659,-9.427064586261919,0.015772730097326396,0.0011704552881262118
3.7423557937704865,-9.91357422244335,-7.64203270612999,0.010589332126358802,0.0009032318811306165
4.580208920287397,-9.898955849685887,-8.872319844510578,0.0151193073895957,0.0008757546555638159
3.866409703145278,-9.9289028267423,-8.07884718063626,0.011451692850196463,0.0010908886184068207
4.618830661214114,-9.965644420327008,-9.033330337619544,0.014984032770867736,0.0007749732163826936
3.9525852574230305,-9.908252081199903,-7.948399912511291,0.011755448194003268,0.0008560919226062436
5.3033868132302056,-9.967449624028955,-10.042812253473338,0.017002215623833954,0.0008467872988452198
4.260909209501686,-9.916675744355572,-8.423606519196154,0.012684584784022993,0.0009637052860881784
4.88303483120948,-9.929187075185943,-9.284457906504274,0.016151677657205307,0.001006082978876921
5.006563531343256,-9.917725611389557,-9.580646903944604,0.016308231666353916,0.000871820864228918
4.535518815423872,-9.880072327877464,-8.886955434856437,0.01532924996308587,0.0010070969890008104
5.2166083976032125,-9.937336993125875,-9.931833359138173,0.01614787396713148,0.0007947612673229578
4.556117377027748,-9.912246668606075,-9.109820411467046,0.014973448153072909,0.0010853108201277402
3.6446055384613834,-9.897292171297371,-7.640925311762533,0.010305274378973887,0.0009321982352698366
5.168878935678043,-9.964895945699714,-9.692895680405208,0.01663094555196397,0.0009714022301576497
